,comunidad,provincia,población,latitud,longitud,altitud,distanica_km,cuidad_mas_cercana
265,andalucia,granada,chimeneas,37.131370000000004,-3.8231980000000005,699.7101,42.03557119969131,Granada
266,andalucia,granada,churriana_de_la_vega,37.14777,-3.64595,657.35,26.57933483385368,Granada
267,andalucia,granada,cijuela,37.19989,-3.810801,539.7335,41.78045822818381,Jaén
268,andalucia,granada,cogollos_de_guadix,37.22443,-3.161336,1142.019,21.01532896587208,Granada
269,andalucia,granada,cogollos_de_la_vega,37.27486,-3.572908,997.7243,22.512967356324634,Jaén
270,andalucia,granada,colomera,37.37206,-3.7138199999999997,855.0217,23.656884185772967,Jaén
271,andalucia,granada,cortes_de_baza,37.65493,-2.769917,707.9819,65.42775951989202,Jaén
272,andalucia,granada,cortes_y_graena,37.30363,-3.218777,976.4355,24.474516967470652,Granada
273,andalucia,granada,cuevas_del_campo,37.608470000000004,-2.931033,832.7582,50.325712815329844,Jaén
274,andalucia,granada,cullar,37.58368,-2.576282,895.665,80.0335363303982,Jaén
275,andalucia,granada,cullar_vega,37.15327,-3.670436,643.1689,28.82034336044105,Granada
276,andalucia,granada,darro,37.35002,-3.292531,1115.744,19.88788153754463,Jaén
277,andalucia,granada,dehesas_de_guadix,37.58868,-3.102278,684.2996,35.45620212097682,Jaén
