,bus_based_companies_count,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,prov_total_millones_vehiculos_km,prov_porcentaje_carreteras_ccaa_y_estado,perc_calidad_cobertura_fija_movil,ccaa_accessibility_mean,tiene_cercanias,tiene_feve,tiene_ave,nume_estaciones_tren
122,,montornes_del_valles,montornes_del_valles,barcelona,barcelona,cataluna,cataluna,montornes_del_valles/barcelona,Barcelona,Montornès del Vallès,8838.35,0.8445015189486725,85.0,37.20251666,,,,
123,,montseny,montseny,barcelona,barcelona,cataluna,cataluna,montseny/barcelona,Barcelona,Montseny,8838.35,0.8445015189486725,45.0,37.20251666,1.0,0.0,1.0,100.0
124,,moia,moia,barcelona,barcelona,cataluna,cataluna,moia/barcelona,Barcelona,Moià,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
125,,mura,mura,barcelona,barcelona,cataluna,cataluna,mura/barcelona,Barcelona,Mura,8838.35,0.8445015189486725,10.0,37.20251666,1.0,0.0,1.0,100.0
126,,navarcles,navarcles,barcelona,barcelona,cataluna,cataluna,navarcles/barcelona,Barcelona,Navarcles,8838.35,0.8445015189486725,85.0,37.20251666,1.0,0.0,1.0,100.0
127,,navas,navas,barcelona,barcelona,cataluna,cataluna,navas/barcelona,Barcelona,Navàs,8838.35,0.8445015189486725,50.36,37.20251666,1.0,0.0,1.0,100.0
128,,la_nou_de_bergueda,la_nou_de_bergueda,barcelona,barcelona,cataluna,cataluna,la_nou_de_bergueda/barcelona,Barcelona,La Nou de Berguedà,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
129,,odena,odena,barcelona,barcelona,cataluna,cataluna,odena/barcelona,Barcelona,Òdena,8838.35,0.8445015189486725,67.0,37.20251666,1.0,0.0,1.0,100.0
130,,olvan,olvan,barcelona,barcelona,cataluna,cataluna,olvan/barcelona,Barcelona,Olvan,8838.35,0.8445015189486725,60.0,37.20251666,1.0,0.0,1.0,100.0
131,,olerdola,olerdola,barcelona,barcelona,cataluna,cataluna,olerdola/barcelona,Barcelona,Olèrdola,8838.35,0.8445015189486725,85.0,37.20251666,1.0,0.0,1.0,100.0
