,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,muni_agrup,total_comercios,b_e_industria,f_construccion,comercio_transporte_y_hosteleria,j_informacion_y_comunicaciones,k_actividades_financieras_y_de_seguros,l_actividades_inmobiliarias,actividades_profesionales_y_tecnicas,educacion_sanidad_y_servicios_sociales,otros_servicios_personales,total_servicios,prov_pib
87,munera,munera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,munera/albacete,Albacete,Munera,munera/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
88,navas_de_jorquera,navas_de_jorquera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,navas_de_jorquera/albacete,Albacete,Navas de Jorquera,navas_de_jorquera/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
89,nerpio,nerpio,albacete,albacete,castilla_la_mancha,castilla_la_mancha,nerpio/albacete,Albacete,Nerpio,nerpio/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
90,ontur,ontur,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ontur/albacete,Albacete,Ontur,ontur/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
91,ossa_de_montiel,ossa_de_montiel,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ossa_de_montiel/albacete,Albacete,Ossa de Montiel,ossa_de_montiel/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
92,paterna_del_madera,paterna_del_madera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,paterna_del_madera/albacete,Albacete,Paterna del Madera,paterna_del_madera/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
93,penascosa,penascosa,albacete,albacete,castilla_la_mancha,castilla_la_mancha,penascosa/albacete,Albacete,Peñascosa,penascosa/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
94,penas_de_san_pedro,penas_de_san_pedro,albacete,albacete,castilla_la_mancha,castilla_la_mancha,penas_de_san_pedro/albacete,Albacete,Peñas de San Pedro,penas_de_san_pedro/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
95,povedilla,povedilla,albacete,albacete,castilla_la_mancha,castilla_la_mancha,povedilla/albacete,Albacete,Povedilla,povedilla/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
96,pozohondo,pozohondo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,pozohondo/albacete,Albacete,Pozohondo,pozohondo/castilla_la_mancha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7762548
