M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER,MODELO
3387,30943905.940000,2760.832110,28736984.290000,2414.109670,2206921.650000,346.722440,41117.180000,10.326100,2727059.820000,413.968320,11708026.650000,1015.158210,9304847.250000,753.913260,5260260.610000,420.871570,1832222.170000,142.594650,70372.260000,4.000000,1,4,3,2,2009,190
3038,29218862.630000,2567.826590,26805778.610000,2163.447940,2413084.020000,404.378650,20875.100000,7.430770,2230212.910000,323.958840,10784554.130000,952.520640,9267389.510000,737.817850,5091819.240000,405.823690,1709784.020000,135.274800,114227.720000,5.000000,1,4,3,2,2010,190
2926,28103869.060000,2481.055080,25866028.260000,2117.871790,2237840.800000,363.183290,21386.130000,6.038730,1795727.790000,292.300530,10486423.110000,924.907340,8957640.320000,704.654800,5081961.370000,408.472310,1670312.390000,137.856410,90417.950000,6.824960,1,4,3,2,2011,190
2594,25935687.960000,2253.394580,24146819.850000,1975.931390,1788868.110000,277.463190,21278.120000,7.000000,1541544.550000,251.684870,8822083.670000,788.022930,8641469.020000,656.573890,5136163.900000,397.659000,1698471.380000,146.034780,74677.320000,6.419110,1,4,3,2,2012,190
2435,24104547.400000,2088.802640,22693532.200000,1886.882910,1411015.200000,201.919730,NULL,NULL,1205377.370000,220.468220,7685872.150000,718.832450,8372364.110000,622.968060,4974006.180000,368.344130,1790262.640000,148.176660,64299.200000,8.013120,1,4,3,2,2013,190
2724,27242067.350000,2282.076650,25637435.860000,2046.179110,1604631.490000,235.897540,14562.630000,4.000000,1242016.030000,220.642130,8107761.110000,750.763640,9784350.590000,709.809610,5897270.960000,420.730570,2118761.510000,169.198270,77344.520000,6.932430,1,4,3,2,2014,190
2928,28631453.330000,2351.671570,26764424.490000,2118.874990,1867028.840000,232.796580,23626.600000,8.000000,1220726.930000,245.756600,8392046.660000,754.602530,10018716.650000,723.208530,6456534.230000,438.693930,2402996.010000,172.409980,116806.250000,9.000000,1,4,3,2,2015,190
3189,30790460.040000,2534.293340,28946408.980000,2303.750900,1844051.060000,230.542440,29998.310000,8.967970,1364456.370000,266.638640,8843148.590000,793.504100,10716978.730000,779.900620,6933423.130000,479.117350,2876366.760000,200.164660,26088.150000,6.000000,1,4,3,2,2016,190
38172,353660885.320000,29194.310270,290937026.420000,21307.044370,62723858.900000,7887.265900,512193.360000,130.525500,34520646.020000,4132.077530,116815631.370000,10331.376360,99919279.770000,7679.619660,70415645.150000,4813.593270,30181532.910000,2010.266390,1295956.740000,96.851560,1,4,4,1,2009,190
30599,290629008.560000,23625.966540,243362571.320000,17802.760540,47266437.240000,5823.206000,328274.990000,70.270720,23183163.920000,2880.950440,92069786.670000,7976.635530,86190095.650000,6529.834550,61358539.550000,4324.876590,26555057.510000,1759.651350,944090.270000,83.747360,1,4,4,1,2010,190
26368,240862691.620000,19834.057440,205674799.060000,15304.437430,35187892.560000,4529.620010,253437.800000,36.879710,15073833.510000,1992.635670,71499490.470000,6376.033750,76929616.000000,5921.282810,53146177.350000,3814.664930,23288085.400000,1618.022540,672051.090000,74.538030,1,4,4,1,2011,190
20142,190111960.580000,15742.537520,162591951.830000,12345.259900,27520008.750000,3397.277620,249002.800000,35.604460,9297458.670000,1361.500040,53370443.630000,4880.202020,64241048.830000,4987.832310,43579622.780000,3174.062530,18932930.360000,1272.805780,441453.510000,30.530380,1,4,4,1,2012,190
19194,168294714.040000,14392.192810,145312629.980000,11498.867310,22982084.060000,2893.325500,212133.490000,37.720460,7239728.650000,1122.794590,42754539.800000,4252.042110,58974279.530000,4677.189540,41012327.250000,3108.659030,17702006.940000,1164.220130,399698.380000,29.566950,1,4,4,1,2013,190
19473,166388471.430000,13986.755080,143070216.460000,11000.343490,23318254.970000,2986.411590,230442.090000,42.880540,6927894.630000,1054.743420,39988790.110000,3873.386520,59044473.900000,4664.343040,41382756.560000,3104.237740,18296108.630000,1210.539420,518005.510000,36.624400,1,4,4,1,2014,190
19901,179089213.490000,14153.919270,153536216.250000,11025.070670,25552997.240000,3128.848600,166239.700000,28.458970,7037911.890000,1104.806030,39791234.630000,3694.328960,63126972.950000,4763.403400,48142904.860000,3225.251330,20148703.140000,1303.704590,675246.320000,33.965990,1,4,4,1,2015,190
19653,173965468.970000,13885.558780,149542210.460000,10817.360670,24423258.510000,3068.198110,111455.790000,34.329900,7152268.710000,1067.282740,37471615.570000,3373.194200,62224720.050000,4697.364460,45637691.870000,3275.083840,20600833.900000,1397.213010,766883.080000,41.090630,1,4,4,1,2016,190
