,municipio_limpio,provincia,superficie_urbana,uds_almacen,uds_comercial,uds_cultural,uds_hosteleria,uds_industrial,uds_deportivo,uds_oficinas,uds_religioso,uds_espectaculos
218,vall_d_ebo,alicante,"121,538",31,2,3,1,50,1,0,1,0
219,vall_de_gallinera,alicante,"162,700",59,3,3,2,37,3,1,7,0
220,vall_de_laguar,alicante,"170,566",70,1,6,2,6,1,3,2,0
221,verger,alicante,"1,603,045","1,060",137,3,8,381,5,28,2,0
222,villajoyosa,alicante,"8,554,974","13,327","1,176",29,849,"1,024",80,125,11,6
223,villena,alicante,"4,528,369","7,803","1,641",30,50,"1,475",64,107,14,5
224,poblets,alicante,"1,494,990",79,78,5,7,104,24,8,0,0
225,pilar_de_la_horadada,alicante,"8,744,372","6,418",743,9,23,665,30,65,7,2
226,montesinos,alicante,"1,282,265","1,306",219,5,16,209,19,15,3,1
227,san_isidro,alicante,"1,262,061",516,20,2,7,149,7,10,1,0
228,abla,almeria,"370,581",68,14,1,3,219,11,4,7,0
229,abrucena,almeria,"307,459",13,2,1,2,175,2,3,4,0
230,adra,almeria,"2,630,053","3,480",790,16,13,694,15,134,12,1
231,albanchez,almeria,"174,856",15,3,0,1,49,3,0,2,0
232,alboloduy,almeria,"89,331",193,6,2,0,12,4,1,2,0
233,albox,almeria,"2,130,021","2,380",346,11,9,436,19,36,9,2
234,alcolea,almeria,"200,810",113,4,2,2,76,2,3,6,0
235,alcontar,almeria,"204,979",9,1,3,1,98,1,0,3,0
236,alcudia_de_monteagud,almeria,"55,549",58,2,1,1,2,1,0,1,0
237,alhabia,almeria,"116,638",45,9,1,0,23,2,2,1,0
238,alhama_de_almeria,almeria,"706,830",693,82,5,5,189,13,17,6,0
239,alicun,almeria,"23,756",10,1,0,0,6,0,0,1,1
240,almeria,almeria,"18,298,994","50,052","7,972",186,137,"3,864",111,"1,684",79,3
241,almocita,almeria,"47,437",6,1,0,2,8,0,0,1,0
242,alsodux,almeria,"19,210",17,1,0,2,7,1,0,1,0
243,antas,almeria,"1,384,867",314,77,5,2,229,4,11,4,0
244,arboleas,almeria,"3,628,564",106,37,9,5,150,14,11,3,0
245,armuna_de_almanzora,almeria,"84,222",11,1,1,2,30,6,0,1,0
246,bacares,almeria,"91,887",21,1,2,7,98,2,2,2,0
247,bayarcal,almeria,"100,124",7,0,2,1,22,1,1,1,0
248,bayarque,almeria,"68,779",5,2,1,1,40,1,1,1,0
249,bedar,almeria,"1,622,379",35,18,2,2,66,5,2,2,0
250,beires,almeria,"32,692",6,0,1,0,12,0,0,1,0
251,benahadux,almeria,"807,929",755,102,8,9,346,15,26,3,1
252,benitagla,almeria,"40,177",27,0,0,0,3,0,0,1,0
