,cp,municipio,provincia,ccaa
5583,27779,o_valadouro,lugo,galicia
5584,27780,foz,lugo,galicia
5585,27785,foz,lugo,galicia
5586,27786,foz,lugo,galicia
5587,27787,foz,lugo,galicia
5588,27788,foz,lugo,galicia
5589,27789,foz,lugo,galicia
5590,27790,barreiros,lugo,galicia
5591,27791,mondonedo,lugo,galicia
5592,27792,barreiros,lugo,galicia
5593,27793,barreiros,lugo,galicia
5594,27794,barreiros,lugo,galicia
5595,27795,ribadeo,lugo,galicia
5596,27796,ribadeo,lugo,galicia
5597,27797,ribadeo,lugo,galicia
5598,27798,barreiros,lugo,galicia
5599,27800,vilalba,lugo,galicia
5600,27810,vilalba,lugo,galicia
5601,27811,vilalba,lugo,galicia
5602,27812,vilalba,lugo,galicia
5603,27813,vilalba,lugo,galicia
5604,27814,vilalba,lugo,galicia
5605,27815,vilalba,lugo,galicia
5606,27816,vilalba,lugo,galicia
5607,27817,muras,lugo,galicia
5608,27818,vilalba,lugo,galicia
5609,27820,vilalba,lugo,galicia
5610,27821,vilalba,lugo,galicia
5611,27822,vilalba,lugo,galicia
5612,27823,vilalba,lugo,galicia
5613,27824,xermade,lugo,galicia
5614,27825,vilalba,lugo,galicia
5615,27826,xermade,lugo,galicia
5616,27830,vilalba,lugo,galicia
5617,27832,xermade,lugo,galicia
5618,27833,xermade,lugo,galicia
5619,27834,xermade,lugo,galicia
5620,27835,xermade,lugo,galicia
5621,27836,muras,lugo,galicia
5622,27837,muras,lugo,galicia
5623,27840,vilalba,lugo,galicia
5624,27841,vilalba,lugo,galicia
5625,27842,vilalba,lugo,galicia
5626,27843,abadin,lugo,galicia
5627,27844,,lugo,galicia
5628,27845,abadin,lugo,galicia
5629,27849,abadin,lugo,galicia
5630,27850,viveiro,lugo,galicia
5631,27860,o_vicedo,lugo,galicia
5632,27861,o_vicedo,lugo,galicia
5633,27863,viveiro,lugo,galicia
5634,27864,viveiro,lugo,galicia
5635,27865,muras,lugo,galicia
5636,27866,ourol,lugo,galicia
5637,27867,ourol,lugo,galicia
5638,27868,o_vicedo,lugo,galicia
5639,27869,viveiro,lugo,galicia
5640,27870,xove,lugo,galicia
5641,27876,xove,lugo,galicia
5642,27877,xove,lugo,galicia
5643,27878,xove,lugo,galicia
5644,27879,xove,lugo,galicia
5645,27880,burela,lugo,galicia
5646,27888,cervo,lugo,galicia
5647,27889,cervo,lugo,galicia
5648,27890,cervo,lugo,galicia
5649,27891,cervo,lugo,galicia
5650,27892,foz,lugo,galicia
5651,27893,foz,lugo,galicia
5652,28001,madrid,madrid,comunidad_de_madrid
5653,28002,madrid,madrid,comunidad_de_madrid
5654,28003,madrid,madrid,comunidad_de_madrid
5655,28004,madrid,madrid,comunidad_de_madrid
5656,28005,madrid,madrid,comunidad_de_madrid
5657,28006,madrid,madrid,comunidad_de_madrid
5658,28007,madrid,madrid,comunidad_de_madrid
