CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,C.P.,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,tiempo de antelacion,Punto de Encuentro,Aparcamiento,Andén,Aseos,Vestíbulo
78705,BARBERA DEL VALLES,41.5131445,2.1183542,8210.0,barbera del valles,barcelona,espana,SI,NO,,,,,,
79009,BARCELONA-CLOT-ARAGO,41.4095992,2.1905257000000002,8026.0,barcelona,barcelona,espana,SI,NO,,,,,,
79400,BARCELONA-ESTACIO DE FRANÇA,41.384432399999994,2.1853105,8003.0,barcelona,barcelona,espana,SI,NO,12 H.,Atención al Cliente,Si,Si,Si,Si
71802,BARCELONA-PASSEIG DE GRACIA,41.392338,2.164656,8007.0,barcelona,barcelona,espana,SI,NO,,,,,,
79004,BARCELONA-SANT ANDREU COMTAL,41.435673,2.1934035,8030.0,barcelona,barcelona,espana,SI,NO,,,,,,
71801,BARCELONA-SANTS,41.379335,2.1394773,8014.0,barcelona,barcelona,espana,SI,NO,30 m.,Centro Servicios Cliente,Si,Si,Si,Si
14206,BARCENA,43.128707,-4.053482,39420.0,barcena de pie de concha,cantabria,espana,SI,NO,,,,,,
5273,BARCIA,43.546813,-6.50828,33787.0,valdes,asturias,espana,NO,SI,,,,,,
22006,BARRA DE MIÑO,42.401093599999996,-7.802630199999999,32950.0,coles,ourense,espana,NO,NO,,,,,,
67208,BARRACAS,40.011745,-0.6962735,12420.0,barracas,castellon/castello,espana,NO,NO,,,,,,
5619,BARREDA,43.37424,-4.041869999999999,39300.0,torrelavega,cantabria,espana,NO,SI,,,,,,
5441,BARREDOS,43.259888000000004,-5.575991,33970.0,laviana,asturias,espana,NO,SI,,,,,,
5183,BARREIROS,43.547328,-7.22532,27792.0,barreiros,lugo,espana,NO,SI,,,,,,
20006,BARRIENTOS,42.414221000000005,-5.9639231,24394.0,valderrey,leon,espana,NO,NO,,,,,,
5764,BARRILLOS,42.812364,-5.283128,24877.0,"ercina, la",leon,espana,NO,SI,,,,,,
5805,BARRIO DE LAS OLLAS,42.85859,-5.339461,24852.0,bonar,leon,espana,NO,SI,,,,,,
16006,BARROS,43.317814,-5.710915,33934.0,langreo,asturias,espana,SI,NO,,,,,,
13112,BASAURI,43.223386,-2.882221,48970.0,basauri,bizkaia,espana,SI,NO,,,,,,
5455,BASURTO HOSPITAL,43.259754,-2.9538279999999997,48013.0,bilbao,bizkaia,espana,NO,SI,,,,,,
11404,BEASAIN,43.046255,-2.202383,20200.0,beasain,gipuzkoa,espana,SI,NO,,,,,,
15003,BECERRIL,42.1047567,-4.6470894,34310.0,becerril de campos,palencia,espana,NO,NO,,,,,,
5323,BEIFAR,43.470149,-6.098903,33129.0,pravia,asturias,espana,NO,SI,,,,,,
51111,BELLAVISTA,37.321549,-5.964313,41703.0,sevilla,sevilla,espana,SI,NO,,,,,,
78402,BELL-LLOC D'URGELL,41.631656299999996,0.7815619,25220.0,bell-lloc d'urgell,lleida,espana,NO,NO,,,,,,
78406,BELLPUIG,41.6325588,1.0129742,25250.0,bellpuig,lleida,espana,NO,NO,,,,,,
71708,BELLVITGE,41.355564,2.1152487,8901.0,"hospitalet de llobregat, l'",barcelona,espana,SI,NO,,,,,,
42019,BELMONTE,37.461858,-6.947528999999999,21500.0,san bartolome de la torre,huelva,espana,NO,NO,,,,,,
5557,BELMONTE DE PRIA,43.43979,-4.982351,33591.0,llanes,asturias,espana,NO,SI,,,,,,
20111,BEMBIBRE,42.6095787,-6.422200599999999,24300.0,bembibre,leon,espana,NO,NO,,,,,,
43005,BENACAZON,37.356962,-6.208073000000001,41805.0,benacazon,sevilla,espana,SI,NO,,,,,,
54511,BENALMADENA-ARROYO DE LA MIEL,36.599090999999994,-4.536341,29631.0,benalmadena,malaga,espana,SI,NO,,,,,,
56103,BENALUA DE GUADIX,37.345298,-3.1631551,18510.0,benalua,granada,espana,NO,NO,,,,,,
55010,BENAOJAN-MONTEJAQUE,36.7137902,-5.246408,29370.0,benaojan,malaga,espana,NO,NO,,,,,,
5415,BENDICION,43.363481,-5.680614,33937.0,siero,asturias,espana,NO,SI,,,,,,
65311,BENICARLO-PEÑISCOLA,40.4276628,0.415166,12580.0,benicarlo,castellon/castello,espana,NO,NO,12 H.,Venta de Billetes,Si,Si,Si,Si
65318,BENICASSIM,40.0580783,0.0578182,12560.0,benicasim/benicassim,castellon/castello,espana,NO,NO,12 H.,Venta de Billetes,Si,Si,No,Si
62001,BENIEL,38.0450344,-0.9990651,30130.0,beniel,murcia,espana,SI,NO,,,,,,
64107,BENIFAIO,39.286596200000005,-0.4300849,46450.0,benifaio,valencia/valencia,espana,SI,NO,,,,,,
69002,BENIGANIM,38.9384428,-0.45319149999999997,46830.0,beniganim,valencia/valencia,espana,NO,NO,,,,,,
5677,BERANGA,43.413759000000006,-3.576887,39730.0,hazas de cesto,cantabria,espana,NO,SI,,,,,,
5730,BERCEDO-MONTIJA,43.08852,-3.4573089999999995,9569.0,espinosa de los monteros,burgos,espana,NO,SI,,,,,,
21001,BETANZOS-CIDADE,43.2841768,-8.2158576,15319.0,betanzos,"coruna, a",espana,NO,NO,,,,,,
20400,BETANZOS-INFESTA,43.2707409,-8.225849499999999,15319.0,betanzos,"coruna, a",espana,NO,NO,,,,,,
5605,BEZANA,43.440838,-3.8995629999999997,39100.0,santa cruz de bezana,cantabria,espana,NO,SI,,,,,,
13113,BIDEBIETA-BASAURI,43.236921,-2.889554,48970.0,basauri,bizkaia,espana,SI,NO,,,,,,
5165,BIDUEIROS,43.696712,-7.468843,27890.0,cervo,lugo,espana,NO,SI,,,,,,
5451,BILBAO-LA CONCORDIA,43.259997999999996,-2.926286,48003.0,bilbao,bizkaia,espana,NO,SI,,,,,,
11503,BILLABONA-ZIZURKIL,43.189202,-2.055365,20150.0,villabona,gipuzkoa,espana,SI,NO,,,,,,
78302,BINEFAR,41.8497659,0.29137209999999997,22500.0,binefar,huesca,espana,NO,NO,,,,,,
79606,BLANES,41.6737575,2.769047,17300.0,blanes,girona,espana,SI,NO,,,,,,
5439,BLIMEA,43.270874,-5.590321,33960.0,san martin del rey aurelio,asturias,espana,NO,SI,,,,,,
54400,BOBADILLA,37.037544399999994,-4.7277249,29540.0,antequera,malaga,espana,NO,NO,12 H.,Venta de Billetes,Si,No,Si,Si
5480,BOLUNBURU,43.199985999999996,-3.1504689999999997,48860.0,zalla,bizkaia,espana,NO,SI,,,,,,
5766,BOÑAR,42.862759000000004,-5.328533999999999,24850.0,bonar,leon,espana,NO,SI,,,,,,
14219,BOO,43.410441,-3.8416330000000003,39691.0,"astillero, el",cantabria,espana,SI,NO,,,,,,
5609,BOO DE PIELAGOS,43.431638,-3.946311,39478.0,pielagos,cantabria,espana,NO,SI,,,,,,
79302,BORDILS-JUIA,42.0370471,2.915295,17462.0,bordils,girona,espana,NO,NO,,,,,,
77112,BORGONYA,42.0646475,2.2419078,8571.0,sant vicenc de torello,barcelona,espana,SI,NO,,,,,,
20104,BRAÑUELAS,42.632622999999995,-6.201011599999999,24360.0,villagaton,leon,espana,NO,NO,,,,,,
37302,BRAZATORTAS-VEREDAS,38.668819799999994,-4.316688200000001,13450.0,brazatortas,ciudad real,espana,NO,NO,,,,,,
